,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
414,Ray Spalding,F,23.0,HOU,1.0,0.0,9.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0
415,Cassius Stanley,SG,21.0,IND,8.0,0.0,23.0,2.0,7.0,0.286,1.0,2.0,0.5,1.0,5.0,0.2,0.357,4.0,5.0,0.8,2.0,1.0,3.0,0.0,0.0,2.0,1.0,7.0,9.0
416,Lamar Stevens,PF,23.0,CLE,16.0,0.0,229.0,26.0,69.0,0.377,1.0,14.0,0.071,25.0,55.0,0.455,0.384,16.0,24.0,0.667,6.0,37.0,43.0,13.0,8.0,4.0,8.0,16.0,69.0
417,Isaiah Stewart,C,19.0,DET,24.0,2.0,434.0,56.0,104.0,0.538,1.0,3.0,0.333,55.0,101.0,0.545,0.543,19.0,28.0,0.679,62.0,66.0,128.0,16.0,12.0,21.0,17.0,64.0,132.0
418,Max Strus,SF,24.0,MIA,15.0,0.0,226.0,40.0,75.0,0.533,26.0,60.0,0.433,14.0,15.0,0.933,0.707,7.0,9.0,0.778,1.0,16.0,17.0,8.0,2.0,0.0,3.0,18.0,113.0
419,Edmond Sumner,SG,25.0,IND,15.0,4.0,138.0,23.0,47.0,0.489,5.0,16.0,0.313,18.0,31.0,0.581,0.543,8.0,12.0,0.667,5.0,15.0,20.0,8.0,8.0,1.0,10.0,14.0,59.0
420,Jae'Sean Tate,SF,25.0,HOU,26.0,16.0,690.0,97.0,181.0,0.536,16.0,52.0,0.308,81.0,129.0,0.628,0.58,29.0,40.0,0.725,40.0,90.0,130.0,42.0,20.0,17.0,31.0,76.0,239.0
421,Jayson Tatum,SF,22.0,BOS,20.0,20.0,719.0,195.0,426.0,0.458,59.0,143.0,0.413,136.0,283.0,0.481,0.527,83.0,94.0,0.883,10.0,131.0,141.0,90.0,25.0,9.0,47.0,35.0,532.0
422,Jeff Teague,PG,32.0,BOS,22.0,3.0,388.0,42.0,128.0,0.328,16.0,37.0,0.432,26.0,91.0,0.286,0.391,27.0,30.0,0.9,6.0,29.0,35.0,46.0,21.0,3.0,22.0,21.0,127.0
423,Garrett Temple,SG,34.0,CHI,24.0,3.0,642.0,74.0,180.0,0.411,37.0,105.0,0.352,37.0,75.0,0.493,0.514,20.0,25.0,0.8,12.0,61.0,73.0,50.0,26.0,10.0,26.0,56.0,205.0
